,Nom scientifique,Nom français,Code,Nom arabe,Noms vernaculaires,Origine géographique,Mois de débourrement,Période de croissance végétative,Période de floraison,Période de fructification,Période de maturité des fruits,Période de chute des feuilles,Type de feuillage,Division,Classe,Ordre,Famille,Genre,Type de plante,Hauteur moyenne ou maximale,Type de feuilles,Forme des feuilles,Bord des feuilles,Disposition des feuilles,Couleur des fleurs,Structure florale,Type de fruit,Type de racine,intérêts,Url carte de répartition,place
espèce103,Morus nigra,Mûrier noir,Ang_Mag_Mor_Mor,التوت الأسود,,"['Asie occidentale', 'Iran', 'Caucase']",Mars à avril,Avril à septembre,Mai à juin,Juin à août,Juillet à août,Octobre à novembre,Caduc,Angiosperme,Magnoliopsida,Rosales,Moraceae,Morus,Arbre,10 à 15 mètres,Simple,Cordée,Denté,Alterne,Vert jaunâtre,Inflorescence en chaton,Multiple (sorose),Pivotante,"['- Culinaire: Les fruits du mûrier noir sont comestibles et utilisés pour faire des confitures, des gelées, des tartes et des boissons.', '- Médicinal: Traditionnellement utilisé pour ses propriétés antioxydantes et anti-inflammatoires.', ""- Ornemental: Utilisé comme arbre d'ornement dans les jardins pour son feuillage dense et ses fruits décoratifs.""]",https://identify.plantnet.org/k-world-flora/species/Morus%20nigra%20L./data,Photo prise au jardin Andalous le 30/04/2025
espèce104,Myoporum laetum,Myoporum,Ang_Mag_Scr_Myo,,,['Nouvelle-Zélande'],Mars,Printemps à été,Printemps à été,Été à automne,Automne,,Persistant,Angiosperme,Magnoliopsida,Lamiales,Scrophulariaceae,Myoporum,Arbuste,Jusqu'à 10 mètres,Simple,Lancéolée,Entier,Alterne,Blanc,Petites fleurs en grappes,Drupe,Fasciculée,"['- Ornemental: Utilisé dans les jardins pour ses qualités esthétiques et sa résistance au vent.', '- Écologique: Peut être utilisé pour la stabilisation des sols dans les zones côtières.']",https://identify.plantnet.org/k-world-flora/species/Myoporum%20laetum%20G.Forst./data,Photo prise au jardin Andalous le 30/04/2025
espèce112,Olea europaea,Olivier,Ang_Dic_Ole_Ole,زيتون,['Zitoun'],"['Méditerranée', 'Asie occidentale']",Mars à avril,Avril à septembre,Mai à juin,Juin à novembre,Octobre à novembre,Persistant,Persistant,Angiosperme,Dicotylédones,Lamiales,Oleaceae,Olea,Arbre,5 à 10 mètres,Simple,Lancéolée,Entier,Opposée,Blanc crème,Petites fleurs en grappes,Drupe,Pivotante,"[""- Culinaire: Les olives et l'huile d'olive sont largement utilisées dans la cuisine méditerranéenne."", ""- Médicinal: L'huile d'olive est utilisée pour ses propriétés antioxydantes et anti-inflammatoires."", ""- Ornemental: L'olivier est souvent planté pour son aspect esthétique dans les jardins."", ""- Industriel: L'huile d'olive est utilisée dans la fabrication de cosmétiques et de savons.""]",https://identify.plantnet.org/k-world-flora/species/Olea%20europaea%20L./data,Photo prise au jardin Andalous le 30/04/2025
espèce114,Phoenix canariensis,Palmier des Canaries,Ang_Lil_Are_Pho,نخيل الكناري,,['Îles Canaries'],,Printemps à été,Printemps,Été à automne,Automne,,Persistant,Angiosperme,Liliopsida,Arecales,Arecaceae,Phoenix,Arbre,Jusqu'à 20 mètres,Pinné,Lancéolé,Entier,Rosette,Jaune crème,Inflorescence en panicule,Drupe,Fasciculé,"['- Ornemental: Utilisé dans les jardins et parcs pour son aspect majestueux et sa résistance aux conditions urbaines.', ""- Écologique: Fournit un habitat pour diverses espèces d'oiseaux et d'insectes.""]",https://identify.plantnet.org/k-world-flora/species/Phoenix%20canariensis%20H.Wildpret/data,Photo prise au jardin Andalous le 30/04/2025
espèce110,Ficus retusa,Figuier à petites feuilles,Ang_Mag_Mor_Fic,,,"['Asie du Sud-Est', 'Malaisie', 'Indonésie', 'Philippines']",,Printemps à été,Printemps,Été,Fin été,,Persistant,Angiosperme,Magnoliopsida,Rosales,Moraceae,Ficus,Arbre,Jusqu'à 15 mètres,Simple,Elliptique,Entier,Alternée,Inconspicue,Inflorescence en sycone,Sycone,Racines aériennes et souterraines,"[""- Ornemental: Utilisé comme plante d'intérieur et pour le bonsaï en raison de son feuillage dense et de sa capacité à être taillé."", ""- Écologique: Fournit de l'ombre et un habitat pour la faune dans les régions tropicales.""]",https://identify.plantnet.org/k-world-flora/species/Ficus%20retusa%20L./data,Photo prise au jardin Andalous le 30/04/2025
espèce124,Pinus radiata,Pin radiata,Gym_Pin_Pin_Pin,,,"['Californie', 'Mexique']",Mars à avril,Printemps à été,Avril à mai,Automne,2 ans après la pollinisation,,Persistant,Gymnosperme,Pinopsida,Pinales,Pinaceae,Pinus,Arbre,Jusqu'à 30 mètres,Aiguilles,Aiguilles fines et longues,Lisse,Fasciculées par trois,Non applicable (cônes),Cônes mâles et femelles séparés,Cône,Pivotante,"['- Ornemental: Utilisé dans les parcs et jardins pour sa croissance rapide et son port élégant.', '- Industriel: Exploité pour son bois, utilisé dans la construction et la fabrication de papier.', '- Écologique: Planté pour la reforestation et la stabilisation des sols.']",https://identify.plantnet.org/k-world-flora/species/Pinus%20radiata%20D.Don/data,Photo prise au jardin Andalous le 30/04/2025
espèce123,Ricinus communis,Ricin,Ang_Mag_Eup_Ric,الخرواع,['الخرواع'],"[""Afrique de l'Est"", 'Moyen-Orient', 'Inde']",Mars à Avril,Avril à Septembre,Juin à Août,Août à Octobre,Septembre à Novembre,Novembre à Décembre,Persistant,Angiosperme,Magnoliopsida,Malpighiales,Euphorbiaceae,Ricinus,Arbuste,1.5 à 4 mètres,Simple,Palmée,Denté,Alternée,Vert jaunâtre,Inflorescence en épi,Capsule,Pivotante,"[""- Médicinal: Utilisé pour produire de l'huile de ricin, connue pour ses propriétés laxatives et anti-inflammatoires."", ""- Industriel: L'huile de ricin est utilisée dans la fabrication de lubrifiants, de peintures et de vernis."", '- Ornemental: Cultivé pour ses grandes feuilles décoratives et sa croissance rapide.']",https://identify.plantnet.org/k-world-flora/species/Ricinus%20communis%20L./data,Photo prise au jardin Andalous le 30/04/2025
espèce108,Erythrina caffra,Erythrine du Cap,Ang_Mag_Fab_Ery,,,"['Afrique du Sud', 'Mozambique']",Septembre à Octobre,Octobre à Mars,Juillet à Septembre,Octobre à Novembre,Novembre à Décembre,Mai à Juin,Caduc,Angiosperme,Magnoliopsida,Fabales,Fabaceae,Erythrina,Arbre,10 à 20 mètres,Composées,Ovale,Entier,Alternée,Rouge vif,Racèmes,Gousse,Pivotante,"['- Ornemental: Utilisé dans les jardins et parcs pour ses fleurs spectaculaires et sa capacité à attirer les oiseaux.', '- Écologique: Fournit un habitat et une source de nourriture pour les oiseaux et les insectes.']",https://identify.plantnet.org/k-world-flora/species/Erythrina%20caffra%20Thunb./data,Photo prise au jardin Andalous le 30/04/2025
espèce107,Washingtonia robusta,Palmier de Washington,Ang_Lil_Are_Was,,,"['Mexique', 'Sud-ouest des États-Unis']",,Printemps à été,Printemps,Été,Fin été à début automne,,Persistant,Angiosperme,Liliopsida,Arecales,Arecaceae,Washingtonia,Arbre,15-30 mètres,Palmé,Palmé,Entier,Rosette,Blanc crème,Inflorescence en panicule,Drupe,Fasciculé,"['- Ornemental: Utilisé dans les jardins et les paysages urbains pour son apparence majestueuse et sa tolérance à la sécheresse.', ""- Écologique: Fournit un habitat pour certaines espèces d'oiseaux et d'insectes.""]",https://identify.plantnet.org/k-world-flora/species/Washingtonia%20robusta%20H.Wendl./data,Photo prise au jardin Andalous le 30/04/2025
espèce116,Cupressus sempervirens,Cyprès toujours vert,Gym_Pin_Cup_Cup,السرو دائم الخضرة,,"['Méditerranée orientale', 'Asie occidentale']",Mars à avril,Printemps à été,Avril à mai,Automne,Hiver,,Persistant,Gymnosperme,Pinopsida,Pinales,Cupressaceae,Cupressus,Arbre,20 à 30 mètres,Aiguilles,Écaille,Lisse,Opposée,Jaune,Cônes mâles et femelles séparés,Cône,Pivotante,"['- Ornemental: Utilisé dans les jardins et les parcs pour sa forme élancée et sa capacité à former des haies.', '- Écologique: Fournit un habitat pour la faune et contribue à la stabilisation des sols.']",https://identify.plantnet.org/k-world-flora/species/Cupressus%20sempervirens%20L./data,Photo prise au jardin Andalous le 30/04/2025
espèce106,Lavandula dentata,Lavande dentée,Ang_Mag_Lam_Lav,الخزامى المسننة,,"['Méditerranée occidentale', 'Espagne', 'Portugal', 'Afrique du Nord']",Mars à avril,Printemps à été,Mai à août,Juillet à septembre,Août à septembre,,Persistant,Angiosperme,Magnoliopsida,Lamiales,Lamiaceae,Lavandula,Arbuste,0.6 à 1 mètre,Simple,Lancéolée,Denté,Opposée,Violet pâle,Épis,Akène,Fasciculée,"['- Ornemental: Utilisée dans les jardins pour ses fleurs attrayantes et son feuillage aromatique.', '- Médicinal: Utilisée en aromathérapie pour ses propriétés relaxantes et apaisantes.', '- Culinaire: Les fleurs peuvent être utilisées pour aromatiser des plats et des desserts.']",https://identify.plantnet.org/k-world-flora/species/Lavandula%20dentata%20L./data,Photo prise au jardin Andalous le 30/04/2025
espèce121,Schinus terebinthifolia,Poivrier de Bahia,Ang_Mag_Ana_Sch,,,"['Amérique du Sud', 'Brésil', 'Argentine', 'Paraguay']",Mars à avril,Printemps à été,Septembre à novembre,Novembre à janvier,Décembre à février,,Persistant,Angiosperme,Magnoliopsida,Sapindales,Anacardiaceae,Schinus,Arbre,Jusqu'à 10 mètres,Composées pennées,Elliptique,Denté,Alternée,Blanc crème,Petites fleurs en panicules,Drupe,Pivotante,"['- Médicinal: Utilisé traditionnellement pour ses propriétés anti-inflammatoires et antiseptiques.', ""- Culinaire: Les baies sont utilisées comme épice, souvent appelées 'poivre rose'."", '- Ornemental: Planté pour son feuillage persistant et ses baies colorées.', '- Écologique: Utilisé dans la restauration des habitats en raison de sa tolérance à divers sols.']",https://identify.plantnet.org/k-world-flora/species/Schinus%20terebinthifolia%20Raddi/data,Photo prise au jardin Andalous le 30/04/2025
espèce125,Catalpa ovata,Catalpa à fleurs jaunes,Ang_Mag_Big_Cat,,,['Chine'],Avril,Avril à Septembre,Juin à Juillet,Août à Octobre,Octobre,Novembre,Caduc,Angiosperme,Magnoliopsida,Lamiales,Bignoniaceae,Catalpa,Arbre,8 à 10 mètres,Simples,Cordée,Entier,Opposée,Jaune pâle,Panicules,Capsule allongée,Pivotante,"['- Ornemental: Utilisé dans les parcs et jardins pour son feuillage large et ses fleurs décoratives.', ""- Écologique: Fournit de l'ombre et attire les pollinisateurs tels que les abeilles et les papillons.""]",https://identify.plantnet.org/k-world-flora/species/Catalpa%20ovata%20G.Don/data,Photo prise au jardin Andalous le 30/04/2025
espèce120,Flacourtia indica,Prunier du Natal,Ang_Mag_Sal_Fla,,,"['Afrique tropicale', 'Madagascar', 'Inde', 'Asie du Sud-Est']",,Printemps à été,Printemps,Été,Fin été à début automne,,Persistant,Angiosperme,Magnoliopsida,Malpighiales,Salicaceae,Flacourtia,Arbuste ou petit arbre,3 à 10 mètres,Simple,Ovale à elliptique,Dentelé,Alternée,Blanc verdâtre,Petites fleurs en grappes,Drupe,Pivotante,"['- Médicinal: Utilisé dans la médecine traditionnelle pour traiter diverses affections telles que les douleurs abdominales et les infections cutanées.', '- Culinaire: Les fruits sont comestibles et peuvent être consommés frais ou transformés en confitures et gelées.', '- Ornemental: Cultivé pour son feuillage dense et ses fruits attrayants.']",https://identify.plantnet.org/k-world-flora/species/Flacourtia%20indica%20(Burm.f.)%20Merr./data,Photo prise au jardin Andalous le 30/04/2025
espèce119,Pittosporum heterophyllum,Pittospore à feuilles variables,Ang_Mag_Pit_Pit,,,"['Chine', 'Himalaya']",Mars à avril,Avril à septembre,Avril à mai,Juin à août,Août à septembre,,Persistant,Angiosperme,Magnoliopsida,Apiales,Pittosporaceae,Pittosporum,Arbuste,1 à 3 mètres,Simple,Ovale à lancéolée,Entier,Alternée,Jaune pâle,Petites fleurs en grappes,Capsule,Fasciculée,['- Ornemental: Utilisé dans les jardins pour ses feuilles persistantes et sa floraison parfumée.'],https://identify.plantnet.org/k-world-flora/species/Pittosporum%20heterophyllum%20Franch./data,Photo prise au jardin Andalous le 30/04/2025
espèce109,Callistemon citrinus,Rince-bouteilles citronné,Ang_Mag_Myr_Cal,,,['Australie'],Mars à avril,Printemps à été,Printemps à été,Été à automne,Automne,,Persistant,Angiosperme,Magnoliopsida,Myrtales,Myrtaceae,Callistemon,Arbuste,2 à 4 mètres,Simple,Lancéolée,Entier,Alternée,Rouge,Épis cylindriques,Capsule ligneuse,Fasciculée,"['- Ornemental: Utilisé pour ses fleurs spectaculaires en forme de brosse à bouteille, souvent planté dans les jardins pour sa beauté et sa capacité à attirer les oiseaux.', '- Écologique: Attire les pollinisateurs tels que les abeilles et les oiseaux, contribuant ainsi à la biodiversité locale.']",https://identify.plantnet.org/k-world-flora/species/Melaleuca%20citrina%20(Curtis)%20Dum.Cours./data,Photo prise au jardin Andalous le 30/04/2025
espèce117,Bauhinia variegata,Bauhinie panachée,Ang_Mag_Fab_Bau,بوهينيا متغيرة,,"['Inde', 'Chine', 'Asie du Sud-Est']",Mars,Avril à septembre,Février à avril,Mai à juin,Juin à juillet,Novembre à décembre,Caduc,Angiosperme,Magnoliopsida,Fabales,Fabaceae,Bauhinia,Arbre,5 à 10 mètres,Simple,Cordée,Entier,Opposée,"Rose, blanc",Zygomorphe,Gousse,Pivotante,"['- Ornemental: Utilisée dans les jardins et parcs pour ses fleurs attrayantes.', '- Médicinal: Utilisée dans la médecine traditionnelle pour traiter diverses affections.']",https://identify.plantnet.org/k-world-flora/species/Bauhinia%20variegata%20L./data,Photo prise au jardin Andalous le 30/04/2025
espèce122,Ficus retusa,Figuier à feuilles de laurier,Ang_Mag_Mor_Fic,,,"['Asie du Sud-Est', 'Malaisie', 'Indonésie', 'Philippines']",,Printemps à été,Printemps,Été,Fin été,,Persistant,Angiosperme,Magnoliopsida,Rosales,Moraceae,Ficus,Arbre,Jusqu'à 15 mètres,Simple,Elliptique,Entier,Alternée,Inconspicue,Inflorescence en sycone,Sycone,Racines aériennes et racines pivotantes,"[""- Ornemental: Utilisé comme plante d'intérieur et pour le bonsaï en raison de son feuillage dense et de sa capacité à être taillé."", ""- Écologique: Fournit de l'ombre et un habitat pour la faune dans les régions tropicales.""]",https://identify.plantnet.org/k-world-flora/species/Ficus%20retusa%20L./data,Photo prise au jardin Andalous le 30/04/2025
espèce118,Citrus × aurantium,Oranger amer,Ang_Mag_Rut_Cit,النارنج,['لارنج'],"['Asie du Sud-Est', 'Inde', 'Chine']",Mars à avril,Avril à septembre,Avril à mai,Octobre à janvier,Décembre à février,Persistant,Persistant,Angiosperme,Magnoliopsida,Sapindales,Rutaceae,Citrus,Arbre,3 à 10 mètres,Simple,Ovale,Dentelé,Alternée,Blanc,Fleurs hermaphrodites,Hespéride,Pivotante,"[""- Culinaire: Utilisé pour la production de marmelade, l'écorce est utilisée pour les liqueurs comme le Curaçao et le Grand Marnier."", '- Médicinal: Utilisé en phytothérapie pour ses propriétés digestives et calmantes.', ""- Ornemental: Cultivé comme arbre d'ornement dans les jardins et les parcs.""]",https://identify.plantnet.org/k-world-flora/species/Citrus%20%C3%97%20aurantium%20L./data,Photo prise au jardin Andalous le 30/04/2025
espèce102,Nerium oleander,Laurier-rose,Ang_Mag_Apo_Ner,دفلى,,"['Méditerranée', 'Asie du Sud-Ouest']",Mars à avril,Avril à septembre,Mai à octobre,Juillet à novembre,Octobre à novembre,,Persistant,Angiosperme,Magnoliopsida,Gentianales,Apocynaceae,Nerium,Arbuste,2 à 6 mètres,Simple,Lancéolée,Entier,Opposée ou verticillée,"Rose, blanc, rouge, jaune",Inflorescence en corymbe,Follicule,Pivotante,"['- Ornemental: Utilisé dans les jardins et parcs pour ses fleurs attrayantes et son feuillage persistant.', '- Médicinal: Contient des composés utilisés en médecine traditionnelle, mais la plante est toxique et doit être manipulée avec précaution.']",https://identify.plantnet.org/k-world-flora/species/Nerium%20oleander%20L./data,Photo prise au jardin Andalous le 30/04/2025
espèce113,Ceratonia siliqua,Caroubier,Ang_Mag_Fab_Cer,خروب,['Kharoub'],"['Méditerranée', 'Moyen-Orient']",Mars à avril,Printemps à été,Septembre à novembre,Octobre à janvier,Juillet à août,Persistant,Persistant,Angiosperme,Magnoliopsida,Fabales,Fabaceae,Ceratonia,Arbre,10 à 15 mètres,Composées,Elliptique,Entier,Alterne,Rougeâtre,Petites fleurs en grappes,Gousse,Pivotante,"['- Culinaire: Les gousses de caroube sont utilisées pour produire de la farine de caroube, un substitut du chocolat et un épaississant alimentaire.', '- Médicinal: Utilisé traditionnellement pour traiter les troubles digestifs et comme antidiarrhéique.', ""- Industriel: La gomme de caroube est utilisée dans l'industrie alimentaire comme stabilisant et épaississant.""]",https://identify.plantnet.org/k-world-flora/species/Ceratonia%20siliqua%20L./data,Photo prise au jardin Andalous le 30/04/2025
espèce101,Chamaecyparis pisifera,Cyprès de Sawara,Gym_Pin_Cup_Cha,,,['Japon'],Avril,Avril à Septembre,Avril à Mai,Septembre à Octobre,Octobre,,Persistant,Gymnosperme,Pinopsida,Pinales,Cupressaceae,Chamaecyparis,Arbre,15 à 30 mètres,Aiguilles,Écaille,Entier,Opposé,Non applicable (conifère),Cônes mâles et femelles séparés,Cône,Pivotante,"['- Ornemental: Utilisé dans les jardins et parcs pour sa forme élégante et son feuillage persistant.', '- Écologique: Fournit un habitat pour la faune et contribue à la biodiversité.']",https://identify.plantnet.org/k-world-flora/species/Chamaecyparis%20pisifera%20(Siebold%20&%20Zucc.)%20Endl./data,Photo prise au jardin Andalous le 30/04/2025
espèce105,Jacaranda mimosifolia,Jacaranda,Ang_Mag_Big_Jac,,,"['Amérique du Sud', 'Brésil', 'Argentine']",Mars à avril,Printemps à été,Printemps à début été,Été à automne,Automne,Hiver,Caduc,Angiosperme,Magnoliopsida,Lamiales,Bignoniaceae,Jacaranda,Arbre,5 à 15 mètres,Composées bipennées,Elliptique,Entier,Opposée,Bleu-violet,Tubulaire,Capsule ligneuse,Pivotante,"[""- Ornemental: Utilisé pour l'embellissement des parcs et jardins grâce à sa floraison spectaculaire."", ""- Écologique: Fournit de l'ombre et un habitat pour diverses espèces d'oiseaux et d'insectes.""]",https://identify.plantnet.org/k-world-flora/species/Jacaranda%20mimosifolia%20D.Don/data,Photo prise au jardin Andalous le 30/04/2025
espèce115,Malus × purpurea,Pommier pourpre,Ang_Mag_Ros_Mal,,,"['Asie', 'Europe']",Mars à avril,Avril à septembre,Avril à mai,Août à octobre,Septembre à octobre,Octobre à novembre,Caduc,Angiosperme,Magnoliopsida,Rosales,Rosaceae,Malus,Arbre,4 à 8 mètres,Simples,Ovale,Dentelé,Alterne,Rose à pourpre,Fleurs en corymbes,Pomme,Pivotante,"['- Ornemental: Utilisé dans les jardins pour ses fleurs décoratives et son feuillage coloré.', '- Écologique: Attire les pollinisateurs tels que les abeilles et les papillons.']",https://identify.plantnet.org/k-world-flora/species/Malus%20%C3%97%20purpurea%20(A.Barbier)%20Rehder/data,Photo prise au jardin Andalous le 30/04/2025
